//Index	Message
0	"Tahoma"
1	"Warning!!! Continued attempts at hacking will result in a permanent account(%s) ban!!"
2	"FindHack file is damaged. Please reinstall MU client."
3	"You have been disconnected from the server."
4	"Install the latest graphics card driver. "
5	"[error1] Hacking or computer virus test has not been completely finished. V3 or Birobot by Hawoori Corp. is needed to finish the"
6	"[error2] The hacking tool checking program has not been successfully downloaded. Please try connecting again in a moment. \n\n I"
7	"[error3] NPX.DLL registration error, required files are missing for running nProtect. Please download np_setup.exe from Muonline"
8	"[error4] An error has occurred in the program. \n\n If you continue to experience the same problem, please contact our customer "
9	"[error5] User has selected the exit button."
10	"[error6] No.%d error!!! Findhack.zip needs to be installed in MU folder."
11	"Data error"
12	"[error7] Certain files connected to findhack are missing. Install findhack.exe from Muonline."
13	"Upgrade has failed. Please restart the game."
14	"Game will now restart in order to complete the upgrade."
15	"[error8] Failed connecting to Findhack updating server. If this problem continues to occur, install findhack.exe from Muonline.c"
16	"[error9] A hacking tool has been found. If you are not using a hacking tool, contact our customer service center through our web"
17	"[error10] Cannot be written on the registry. Can cause an expected malfunction."
18	"Tahoma"
19	"Event"
20	"Dark Wizard"
21	"Dark Knight"
22	"Elf"
23	"Magic Gladiator"
24	"Dark Lord"
25	"Soul Master"
26	"Blade Knight"
27	"Muse Elf"
28	"Reserve : Job"
29	"Reserve : Job"
30	"Lorencia"
31	"Dungeon"
32	"Devias"
33	"Noria"
34	"Lost Tower"
35	"A place of exile"
36	"Arena"
37	"Atlans"
38	"Tarkan"
39	"Devil Square"
40	"One-Handed Damage"
41	"Two-Handed Damage"
42	"Wizardry Damage"
43	"Very Slow"
44	"Slow"
45	"Normal"
46	"Fast"
47	"Very Fast"
48	"Ice"
49	"Poison"
50	"Lightning"
51	"Fire"
52	"Earth"
53	"Wind"
54	"Water"
55	"Icarus"
56	"Blood Castle"
57	"Chaos Castle"
58	"Kalima"
59	"Land of Trials"
60	"Cannot be equipped by %s"
61	"Can be equipped by %s"
62	"Purchase Price: %s"
63	"Selling Price: %s"
64	"Attack speed: %d"
65	"Defense: %d"
66	"Spell resistance: %d"
67	"Defense rate: %d"
68	"Moving speed: %d"
69	"Number of items: %d"
70	"Life: %d"
71	"Durability: [%d/%d]"
72	"%s Resistance: %d"
73	"Strength Requirement: %d"
74	"(lacking %d)"
75	"Agility Requirement: %d"
76	"Minimum Level Requirement: %d"
77	"Available Energy: %d"
78	"Increases moving speed"
79	"Wizardry Dmg %d%% rise"
80	"Defend skill (Mana:%d)"
81	"Falling Slash skill (Mana:%d)"
82	"Lunge skill (Mana:%d)"
83	"Uppercut skill (Mana:%d)"
84	"Cyclone Cutting skill (Mana:%d)"
85	"Slashing skill (Mana:%d)"
86	"Triple Shot skill (Mana:%d)"
87	"Luck (success rate of Jewel of Soul +25%%)"
88	"Additional Dmg +%d"
89	"Additional Wizardry Dmg +%d"
90	"Additional defense rate +%d"
91	"Additional defense +%d"
92	"Automatic HP recovery %d%%"
93	"Swimming speed increase"
94	"Luck (critical damage rate +5%%)"
95	"Durability: [%d]"
96	"Can only be used in moving unit"
97	"Skill Power: %d ~ %d"
98	"Power Slash Skill (Mana:%d)"
99	"Combo"
100	"Zen"
101	"Heart"
102	"Jewel"
103	"Transformation Ring"
104	"Chaos Event Gift Certificate"
105	"Star of Sacred Birth"
106	"Firecracker"
107	"Heart of love"
108	"Olive of love"
109	"Silver medal"
110	"Gold medal"
111	"Box of Heaven"
112	"When you drop it on the ground, "
113	"[Rena/Zen/Jewel/Item]"
114	"you will get one of the above items."
115	"Box of Kundun"
116	"Anniversary Box"
117	"Heart of Dark Lord"
118	"Moon Cookie"
119	"You can register by giving it to the NPC"
120	"Key Function"
121	"F1 : Help On/Off"
122	"F2 : Chat window on/off"
123	"F3 : Whisper Mode window on/off"
124	"F4 : Adjust Chat Window size"
125	"Enter: Chatting Mode"
126	"C : Character Info"
127	"I,V : Inventory "
128	"P : Party Window"
129	"G : Guild Window"
130	"Q : Use Healing Potion"
131	"W : Use Mana Potion"
132	"E : Use Antidote"
133	"Shift: Character lockup key"
134	"Ctrl+Num: Set hot keys for skills"
135	"Num: Use skill hot keys"
136	"Alt: Show dropped items"
137	"Alt+items: Select items in primary order"
138	"Ctrl+Click: PvP mode, attack other players"
139	"Print Screen: Save screenshots"
140	"Chatting Instructions"
141	"Tab: switch to the ID window"
142	"Right click on msg: Whispering ID"
143	"Up/Down: View Chatting History"
144	"PageUP, PageDN: Scroll Message"
145	"~ <msg>: Message to party members"
146	"@ <msg>: Message to guild members"
147	"@> <msg>: Posting to guild members"
148	"# <msg>: Make message appear longer"
149	"/trade(pointing player): trade"
150	"/party(pointing player): form a party"
151	"/guild(pointing player): form a guild"
152	"/war <guild name>: Declare Guild War"
153	"/<item name>: item info"
154	"/warp <world>: Warp to another world"
155	"/filter word1 word2: View Chats with word"
156	"Move cursor down-> Adjust chat window"
157	"Warp to the corresponding area after %d seconds"
158	"%s Warp scroll"
159	"Item option info"
160	"Item info"
161	"LV"
162	"ATK Dmg"
163	"WIZ Dmg"
164	"DEF"
165	"DEF rate"
166	"Força"
167	"Agilidade"
168	"Energia"
169	"Vitalidade"
170	"Wizardry Dmg:%d~%d"
171	"Healing: %d"
172	"Defensive Ability Increase: %d"
173	"Offensive Ability Increase: %d"
174	"Range: %d"
175	"Mana: %d"
176	"+Skill"
177	"+Option"
178	"+Luck"
179	"Knight specific skill"
180	"Guild"
181	"Do you wish to be the guild master?"
182	"NAME"
183	"After selecting a color with"
184	"the mouse, please draw."
