//=======================================================
// GameServer Ver: 2b.1.0.0
// ------------------------------------------------------
// Description: BOT_BUFFER Settings eX803
// -  ---------------------------------------------------
// -  Revision: 	17:37 04.07.2016
// -
// - Add : PerfectionMu ( Callejero )
// - ====================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//======================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen	  PCPoint	MaxLvl	   Name		     Map	X	  Y	    Dir
1
0		16	1	 1		100	  0	        400	   "Buff SM"	     0	        162	  129	    2
1		17	1	 1		100	  0	        400	   "Buff BM"	     0	        165	  129	    2
2		18	1	 1		100	  0	        400	   "Buff ELF"	     0	        168	  129	    2
3		16	1	 1		100	  0	        400	   "Buff SM"	     0	        132	  156	    3
4		17	1	 1		100	  0	        400	   "Buff BM"	     0	        132	  159	    3
5		18	1	 1		100	  0	        400	   "Buff ELF"	     0	        132	  162	    3
6		16	1	 1		100	  0	        400	   "Buff SM"	     0	        132	  100	    3
7		17	1	 1		100	  0	        400	   "Buff BM"	     0	        132	  097	    3
8		18	1	 1		100	  0	        400	   "Buff ELF"	     0	        132	  094	    3
9		16	1	 1		100	  0	        400	   "Buff SM"	     0	        106	  129	    2
10		17	1	 1		100	  0	        400	   "Buff BM"	     0	        103	  129	    2
11		18	1	 1		100	  0	        400	   "Buff ELF"	     0	        100	  129	    2
12		16	1	 1		100	  0	        400	   "Buff SM"	     3	        168	  118	    2
13		17	1	 1		100	  0	        400	   "Buff BM"	     3	        170	  119	    2
14		18	1	 1		100	  0	        400	   "Buff ELF"	     3	        172	  120	    2
15		16	1	 1		100	  0	        400	   "Buff SM"	     3	        198	  126	    2
16		17	1	 1		100	  0	        400	   "Buff BM"	     3	        200	  127	    2
17		18	1	 1		100	  0	        400	   "Buff ELF"	     3	        201	  129	    2
18		16	1	 1		100	  0	        400	   "Buff SM"	     3	        170	  091	    2
19		17	1	 1		100	  0	        400	   "Buff BM"	     3	        169	  089	    2
20		18	1	 1		100	  0	        400	   "Buff ELF"	     3	        167	  088	    2
21		16	1	 1		100	  0	        400	   "Buff SM"	     51	        044	  172	    3
22		17	1	 1		100	  0	        400	   "Buff BM"	     51	        044	  170	    3
23		18	1	 1		100	  0	        400	   "Buff ELF"	     51	        044	  168	    3
24		16	1	 1		100	  0	        400	   "Buff SM"	     51	        093	  219	    1
25		17	1	 1		100	  0	        400	   "Buff BM"	     51	        095	  219	    1
26		18	1	 1		100	  0	        400	   "Buff ELF"	     51	        097	  219	    1
27		16	1	 1		100	  0	        400	   "Buff SM"	     2	        218	  070	    3
28		17	1	 1		100	  0	        400	   "Buff BM"	     2	        218	  072	    3
29		18	1	 1		100	  0	        400	   "Buff ELF"	     2	        218	  074	    3
30		16	1	 1		100	  0	        400	   "Buff SM"	     2	        176	  044	    2
31		17	1	 1		100	  0	        400	   "Buff BM"	     2	        174	  044	    2
32		18	1	 1		100	  0	        400	   "Buff ELF"	     2	        172	  044	    2
33		16	1	 1		100	  0	        400	   "Buff SM"	     4	        197	  074	    3
34		17	1	 1		100	  0	        400	   "Buff BM"	     4	        198	  076	    3
35		18	1	 1		100	  0	        400	   "Buff ELF"	     4	        199	  078	    2
end

// -   Bot	Only	Active!		GensReq		Gens
// -   Index	_AL		ReqGens		Contribution	Family
2
end

// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet

// - BotIndex	Slot	Type	Index	Level	Opt
3
0		2	7	2	13	0
0		3	8	2	13	0
0		4	9	2	13	0
0		5	10	2	13	0
0		6	11	2	13	0
0		7	12	4	15	0	
1		2	7	0	13	0
1		3	8	0	13	0
1		4	9	0	13	0
1		5	10	0	13	0
1		6	11	0	13	0
1		7	12	5	15	0	
2		2	7	12	13	0
2		3	8	12	13	0
2		4	9	12	13	0
2		5	10	12	13	0
2		6	11	12	13	0
2		7	12	3	15	0
3		2	7	2	13	0
3		3	8	2	13	0
3		4	9	2	13	0
3		5	10	2	13	0
3		6	11	2	13	0
3		7	12	4	15	0	
4		2	7	0	13	0
4		3	8	0	13	0
4		4	9	0	13	0
4		5	10	0	13	0
4		6	11	0	13	0
4		7	12	5	15	0	
5		2	7	12	13	0
5		3	8	12	13	0
5		4	9	12	13	0
5		5	10	12	13	0
5		6	11	12	13	0
5		7	12	3	15	0
6		2	7	2	13	0
6		3	8	2	13	0
6		4	9	2	13	0
6		5	10	2	13	0
6		6	11	2	13	0
6		7	12	4	15	0	
7		2	7	0	13	0
7		3	8	0	13	0
7		4	9	0	13	0
7		5	10	0	13	0
7		6	11	0	13	0
7		7	12	5	15	0	
8		2	7	12	13	0
8		3	8	12	13	0
8		4	9	12	13	0
8		5	10	12	13	0
8		6	11	12	13	0
8		7	12	3	15	0
9		2	7	2	13	0
9		3	8	2	13	0
9		4	9	2	13	0
9		5	10	2	13	0
9		6	11	2	13	0
9		7	12	4	15	0	
10		2	7	0	13	0
10		3	8	0	13	0
10		4	9	0	13	0
10		5	10	0	13	0
10		6	11	0	13	0
10		7	12	5	15	0	
11		2	7	12	13	0
11		3	8	12	13	0
11		4	9	12	13	0
11		5	10	12	13	0
11		6	11	12	13	0
11		7	12	3	15	0
12		2	7	2	13	0
12		3	8	2	13	0
12		4	9	2	13	0
12		5	10	2	13	0
12		6	11	2	13	0
12		7	12	4	15	0	
13		2	7	0	13	0
13		3	8	0	13	0
13		4	9	0	13	0
13		5	10	0	13	0
13		6	11	0	13	0
13		7	12	5	15	0	
14		2	7	12	13	0
14		3	8	12	13	0
14		4	9	12	13	0
14		5	10	12	13	0
14		6	11	12	13	0
14		7	12	3	15	0
15		2	7	2	13	0
15		3	8	2	13	0
15		4	9	2	13	0
15		5	10	2	13	0
15		6	11	2	13	0
15		7	12	4	15	0	
16		2	7	0	13	0
16		3	8	0	13	0
16		4	9	0	13	0
16		5	10	0	13	0
16		6	11	0	13	0
16		7	12	5	15	0	
17		2	7	12	13	0
17		3	8	12	13	0
17		4	9	12	13	0
17		5	10	12	13	0
17		6	11	12	13	0
17		7	12	3	15	0
18		2	7	2	13	0
18		3	8	2	13	0
18		4	9	2	13	0
18		5	10	2	13	0
18		6	11	2	13	0
18		7	12	4	15	0	
19		2	7	0	13	0
19		3	8	0	13	0
19		4	9	0	13	0
19		5	10	0	13	0
19		6	11	0	13	0
19		7	12	5	15	0	
20		2	7	12	13	0
20		3	8	12	13	0
20		4	9	12	13	0
20		5	10	12	13	0
20		6	11	12	13	0
20		7	12	3	15	0
21		2	7	2	13	0
21		3	8	2	13	0
21		4	9	2	13	0
21		5	10	2	13	0
21		6	11	2	13	0
21		7	12	4	15	0	
22		2	7	0	13	0
22		3	8	0	13	0
22		4	9	0	13	0
22		5	10	0	13	0
22		6	11	0	13	0
22		7	12	5	15	0	
23		2	7	12	13	0
23		3	8	12	13	0
23		4	9	12	13	0
23		5	10	12	13	0
23		6	11	12	13	0
23		7	12	3	15	0
24		2	7	2	13	0
24		3	8	2	13	0
24		4	9	2	13	0
24		5	10	2	13	0
24		6	11	2	13	0
24		7	12	4	15	0	
25		2	7	0	13	0
25		3	8	0	13	0
25		4	9	0	13	0
25		5	10	0	13	0
25		6	11	0	13	0
25		7	12	5	15	0	
26		2	7	12	13	0
