//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
237            03             00         171            105            03             //Charon
242            03             00         173            125            01             //Elf Lala
243            03             00         195            124            02             //Eo the Craftsman
240            03             00         172            96             03             //Safety Guardian
238            03             00         180            103            01             //Chaos Goblin
257            03             00         167            118            01             //Shadow Phantom Soldier
450            03             00         179            126            01             //Cherry Blossom Spirit
451            03             00         179            129            03             //Cherry Blossom Tree
257            03             00         166            085            02             //Shadow Phantom Soldier
257            03             00         201            129            02             //Shadow Phantom Soldier
544            03             00         167            100            02             //Gens Vanert Steward
end


//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================

1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
003            03             30         139            063            247          164          -1             60            //Spider
026            03             30         109            046            154          181          -1             10            //Goblin
026            03             30         136            156            247          204          -1             10            //Goblin
026            03             30         135            042            247          073          -1             10            //Goblin
027            03             30         109            046            154          181          -1             20            //Chain Scorpion
027            03             30         135            042            247          073          -1             20            //Chain Scorpion
027            03             30         136            156            247          204          -1             20            //Chain Scorpion
033            03             30         106            003            247          040          -1             20            //Elite Goblin
033            03             30         059            006            128          106          -1             20            //Elite Goblin
028            03             30         106            003            247          040          -1             20            //Beetle Monster
028            03             30         059            006            128          106          -1             20            //Beetle Monster
029            03             30         106            003            247          040          -1             20            //Hunter
029            03             30         059            006            128          106          -1             20            //Hunter
030            03             30         007            004            063          176          -1             10            //Forest Monster
030            03             30         041            107            107          181          -1             10            //Forest Monster
030            03             30         105            184            247          246          -1             10            //Forest Monster
031            03             30         007            004            063          176          -1             20            //Agon
031            03             30         041            107            107          181          -1             20            //Agon
031            03             30         105            184            247          246          -1             20            //Agon
032            03             30         004            168            115          248          -1             40            //Stone Golem
end
