//=========================================================================================================================================
// TRAPS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
103            04             00         005            175            03             //Meteorite
103            04             00         006            175            03             //Meteorite
103            04             00         004            175            03             //Meteorite
103            04             00         015            172            03             //Meteorite
103            04             00         015            173            03             //Meteorite
103            04             00         015            174            03             //Meteorite
103            04             00         014            207            03             //Meteorite
103            04             00         004            194            03             //Meteorite
103            04             00         005            194            03             //Meteorite
103            04             00         006            194            03             //Meteorite
103            04             00         014            208            03             //Meteorite
103            04             00         005            237            03             //Meteorite
103            04             00         006            237            03             //Meteorite
103            04             00         007            237            03             //Meteorite
103            04             00         026            104            03             //Meteorite
103            04             00         026            103            03             //Meteorite
103            04             00         026            102            03             //Meteorite
103            04             00         026            101            03             //Meteorite
103            04             00         030            101            03             //Meteorite
103            04             00         030            100            03             //Meteorite
103            04             00         030            099            03             //Meteorite
103            04             00         029            125            01             //Meteorite
103            04             00         028            125            01             //Meteorite
103            04             00         027            125            01             //Meteorite
103            04             00         026            125            01             //Meteorite
103            04             00         027            128            01             //Meteorite
103            04             00         027            129            01             //Meteorite
103            04             00         027            130            01             //Meteorite
103            04             00         021            243            03             //Meteorite
103            04             00         022            243            03             //Meteorite
103            04             00         023            243            03             //Meteorite
103            04             00         045            110            01             //Meteorite
103            04             00         045            110            01             //Meteorite
103            04             00         045            110            05             //Meteorite
103            04             00         045            109            05             //Meteorite
103            04             00         045            108            05             //Meteorite
103            04             00         038            110            05             //Meteorite
103            04             00         038            109            05             //Meteorite
103            04             00         038            108            05             //Meteorite
103            04             00         035            125            01             //Meteorite
103            04             00         034            125            01             //Meteorite
103            04             00         033            125            01             //Meteorite
103            04             00         036            125            01             //Meteorite
103            04             00         037            119            03             //Meteorite
103            04             00         037            120            03             //Meteorite
103            04             00         034            128            01             //Meteorite
103            04             00         034            129            01             //Meteorite
103            04             00         034            130            01             //Meteorite
103            04             00         047            131            01             //Meteorite
103            04             00         047            132            01             //Meteorite
103            04             00         041            132            01             //Meteorite
103            04             00         041            133            01             //Meteorite
103            04             00         036            133            01             //Meteorite
103            04             00         036            134            01             //Meteorite
103            04             00         046            169            03             //Meteorite
103            04             00         046            170            03             //Meteorite
103            04             00         046            171            03             //Meteorite
103            04             00         046            172            03             //Meteorite
103            04             00         042            245            03             //Meteorite
103            04             00         042            246            03             //Meteorite
103            04             00         052            114            03             //Meteorite
103            04             00         053            114            03             //Meteorite
103            04             00         054            114            03             //Meteorite
103            04             00         053            178            03             //Meteorite
103            04             00         054            178            03             //Meteorite
103            04             00         052            178            03             //Meteorite
103            04             00         051            198            03             //Meteorite
103            04             00         051            199            03             //Meteorite
103            04             00         051            200            03             //Meteorite
103            04             00         051            201            03             //Meteorite
103            04             00         085            120            03             //Meteorite
