//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
048            07             30         236            177            -1             //Lizard King
051            07             30         212            096            -1             //Great Bahamut
045            07             30         021            041            -1             //Bahamut
045            07             30         023            033            -1             //Bahamut
045            07             30         031            031            -1             //Bahamut
045            07             30         039            023            -1             //Bahamut
045            07             30         041            011            -1             //Bahamut
045            07             30         021            048            -1             //Bahamut
045            07             30         047            041            -1             //Bahamut
045            07             30         039            063            -1             //Bahamut
045            07             30         072            042            -1             //Bahamut
045            07             30         023            056            -1             //Bahamut
045            07             30         023            064            -1             //Bahamut
045            07             30         035            070            -1             //Bahamut
045            07             30         029            075            -1             //Bahamut
045            07             30         062            021            -1             //Bahamut
045            07             30         078            019            -1             //Bahamut
045            07             30         067            036            -1             //Bahamut
045            07             30         024            086            -1             //Bahamut
045            07             30         048            057            -1             //Bahamut
045            07             30         045            070            -1             //Bahamut
045            07             30         019            125            -1             //Bahamut
045            07             30         049            008            -1             //Bahamut
045            07             30         046            020            -1             //Bahamut
045            07             30         039            035            -1             //Bahamut
045            07             30         037            050            -1             //Bahamut
045            07             30         020            075            -1             //Bahamut
045            07             30         063            044            -1             //Bahamut
045            07             30         068            052            -1             //Bahamut
045            07             30         049            064            -1             //Bahamut
045            07             30         029            052            -1             //Bahamut
046            07             30         046            021            -1             //Vepar
046            07             30         048            009            -1             //Vepar
046            07             30         050            065            -1             //Vepar
046            07             30         051            070            -1             //Vepar
046            07             30         080            033            -1             //Vepar
046            07             30         062            017            -1             //Vepar
046            07             30         061            011            -1             //Vepar
046            07             30         069            019            -1             //Vepar
046            07             30         075            015            -1             //Vepar
046            07             30         083            015            -1             //Vepar
046            07             30         084            021            -1             //Vepar
046            07             30         067            027            -1             //Vepar
046            07             30         059            034            -1             //Vepar
046            07             30         086            037            -1             //Vepar
046            07             30         078            044            -1             //Vepar
046            07             30         071            052            -1             //Vepar
046            07             30         065            059            -1             //Vepar
046            07             30         065            051            -1             //Vepar
046            07             30         055            044            -1             //Vepar
046            07             30         040            048            -1             //Vepar
046            07             30         031            053            -1             //Vepar
046            07             30         024            090            -1             //Vepar
046            07             30         021            100            -1             //Vepar
046            07             30         025            105            -1             //Vepar
046            07             30         030            110            -1             //Vepar
046            07             30         021            118            -1             //Vepar
046            07             30         038            117            -1             //Vepar
046            07             30         141            011            -1             //Vepar
046            07             30         127            017            -1             //Vepar
046            07             30         114            026            -1             //Vepar
046            07             30         107            018            -1             //Vepar
046            07             30         104            013            -1             //Vepar
046            07             30         115            012            -1             //Vepar
046            07             30         089            062            -1             //Vepar
046            07             30         075            076            -1             //Vepar
046            07             30         069            087            -1             //Vepar
046            07             30         050            093            -1             //Vepar
046            07             30         023            072            -1             //Vepar
046            07             30         078            023            -1             //Vepar
046            07             30         070            038            -1             //Vepar
046            07             30         055            025            -1             //Vepar
046            07             30         030            122            -1             //Vepar
046            07             30         017            126            -1             //Vepar
046            07             30         122            029            -1             //Vepar
046            07             30         108            040            -1             //Vepar
048            07             30         066            222            -1             //Lizard King
048            07             30         063            218            -1             //Lizard King
048            07             30         057            225            -1             //Lizard King
048            07             30         171            162            -1             //Lizard King
048            07             30         175            169            -1             //Lizard King
048            07             30         178            174            -1             //Lizard King
048            07             30         173            179            -1             //Lizard King
048            07             30         171            187            -1             //Lizard King
048            07             30         165            193            -1             //Lizard King
048            07             30         159            198            -1             //Lizard King
048            07             30         152            201            -1             //Lizard King
048            07             30         144            201            -1             //Lizard King
048            07             30         137            205            -1             //Lizard King
048            07             30         124            206            -1             //Lizard King
048            07             30         115            210            -1             //Lizard King
048            07             30         104            211            -1             //Lizard King
048            07             30         094            210            -1             //Lizard King
048            07             30         087            214            -1             //Lizard King
048            07             30         076            215            -1             //Lizard King
048            07             30         047            224            -1             //Lizard King
048            07             30         046            217            -1             //Lizard King
048            07             30         029            226            -1             //Lizard King
048            07             30         022            213            -1             //Lizard King
048            07             30         024            204            -1             //Lizard King
048            07             30         034            200            -1             //Lizard King
048            07             30         035            209            -1             //Lizard King
048            07             30         040            210            -1             //Lizard King
048            07             30         045            205            -1             //Lizard King
048            07             30         047            211            -1             //Lizard King
048            07             30         037            232            -1             //Lizard King
048            07             30         226            052            -1             //Lizard King
048            07             30         022            230            -1             //Lizard King
048            07             30         041            224            -1             //Lizard King
048            07             30         082            215            -1             //Lizard King
048            07             30         167            156            -1             //Lizard King
048            07             30         177            146            -1             //Lizard King
