//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
294            31             30         228            042            -1             //Ax Warrior
294            31             30         182            031            -1             //Ax Warrior
291            31             30         105            190            -1             //Fire Golem
294            31             30         185            015            -1             //Ax Warrior
294            31             30         193            012            -1             //Ax Warrior
292            31             30         098            175            -1             //Queen Bee
294            31             30         196            026            -1             //Ax Warrior
294            31             30         202            012            -1             //Ax Warrior
291            31             30         088            183            -1             //Fire Golem
294            31             30         214            014            -1             //Ax Warrior
294            31             30         202            020            -1             //Ax Warrior
294            31             30         206            028            -1             //Ax Warrior
290            31             30         212            022            -1             //Lizard Warrior
294            31             30         221            017            -1             //Ax Warrior
294            31             30         224            025            -1             //Ax Warrior
294            31             30         228            031            -1             //Ax Warrior
294            31             30         218            031            -1             //Ax Warrior
294            31             30         211            039            -1             //Ax Warrior
290            31             30         233            036            -1             //Lizard Warrior
294            31             30         235            045            -1             //Ax Warrior
292            31             30         224            147            -1             //Queen Bee
291            31             30         225            141            -1             //Fire Golem
293            31             30         225            132            -1             //Poison Golem
293            31             30         224            124            -1             //Poison Golem
293            31             30         218            110            -1             //Poison Golem
293            31             30         219            119            -1             //Poison Golem
293            31             30         227            116            -1             //Poison Golem
290            31             30         228            109            -1             //Lizard Warrior
293            31             30         230            102            -1             //Poison Golem
293            31             30         222            098            -1             //Poison Golem
294            31             30         223            054            -1             //Ax Warrior
290            31             30         204            061            -1             //Lizard Warrior
291            31             30         064            213            -1             //Fire Golem
291            31             30         048            207            -1             //Fire Golem
290            31             30         209            067            -1             //Lizard Warrior
290            31             30         218            065            -1             //Lizard Warrior
290            31             30         234            075            -1             //Lizard Warrior
290            31             30         234            066            -1             //Lizard Warrior
290            31             30         234            055            -1             //Lizard Warrior
291            31             30         018            173            -1             //Fire Golem
291            31             30         038            172            -1             //Fire Golem
291            31             30         028            185            -1             //Fire Golem
291            31             30         031            209            -1             //Fire Golem
291            31             30         040            231            -1             //Fire Golem
291            31             30         056            227            -1             //Fire Golem
291            31             30         081            221            -1             //Fire Golem
291            31             30         080            234            -1             //Fire Golem
290            31             30         231            095            -1             //Lizard Warrior
293            31             30         230            086            -1             //Poison Golem
290            31             30         222            087            -1             //Lizard Warrior
293            31             30         220            074            -1             //Poison Golem
290            31             30         226            063            -1             //Lizard Warrior
290            31             30         214            053            -1             //Lizard Warrior
290            31             30         223            039            -1             //Lizard Warrior
290            31             30         191            021            -1             //Lizard Warrior
292            31             30         037            222            -1             //Queen Bee
292            31             30         048            221            -1             //Queen Bee
292            31             30         072            232            -1             //Queen Bee
292            31             30         075            204            -1             //Queen Bee
292            31             30         027            174            -1             //Queen Bee
292            31             30         041            185            -1             //Queen Bee
291            31             30         052            188            -1             //Fire Golem
292            31             30         071            194            -1             //Queen Bee
292            31             30         092            225            -1             //Queen Bee
293            31             30         227            077            -1             //Poison Golem
