//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
369            33             00         078            013            02             //Osbourne
370            33             00         086            013            01             //Jerridon
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
304            33             30         106            049            -1             //Witch Queen
304            33             30         120            097            -1             //Witch Queen
304            33             30         125            082            -1             //Witch Queen
304            33             30         137            125            -1             //Witch Queen
304            33             30         141            076            -1             //Witch Queen
305            33             30         081            080            -1             //Blue Golem
305            33             30         083            121            -1             //Blue Golem
305            33             30         088            062            -1             //Blue Golem
305            33             30         092            045            -1             //Blue Golem
305            33             30         092            086            -1             //Blue Golem
305            33             30         094            158            -1             //Blue Golem
305            33             30         094            158            -1             //Blue Golem
305            33             30         095            150            -1             //Blue Golem
305            33             30         102            175            -1             //Blue Golem
305            33             30         104            042            -1             //Blue Golem
305            33             30         104            160            -1             //Blue Golem
305            33             30         111            094            -1             //Blue Golem
305            33             30         113            155            -1             //Blue Golem
305            33             30         114            067            -1             //Blue Golem
305            33             30         125            112            -1             //Blue Golem
305            33             30         126            073            -1             //Blue Golem
305            33             30         131            094            -1             //Blue Golem
305            33             30         133            079            -1             //Blue Golem
305            33             30         133            133            -1             //Blue Golem
305            33             30         134            106            -1             //Blue Golem
305            33             30         136            066            -1             //Blue Golem
305            33             30         146            072            -1             //Blue Golem
305            33             30         148            093            -1             //Blue Golem
305            33             30         157            166            -1             //Blue Golem
305            33             30         167            127            -1             //Blue Golem
305            33             30         168            140            -1             //Blue Golem
305            33             30         168            168            -1             //Blue Golem
305            33             30         169            174            -1             //Blue Golem
305            33             30         180            040            -1             //Blue Golem
305            33             30         185            147            -1             //Blue Golem
305            33             30         194            019            -1             //Blue Golem
305            33             30         197            148            -1             //Blue Golem
305            33             30         208            168            -1             //Blue Golem
305            33             30         235            101            -1             //Blue Golem
306            33             30         085            145            -1             //Death Rider
306            33             30         088            126            -1             //Death Rider
306            33             30         089            109            -1             //Death Rider
306            33             30         093            173            -1             //Death Rider
306            33             30         100            058            -1             //Death Rider
306            33             30         119            056            -1             //Death Rider
306            33             30         126            156            -1             //Death Rider
306            33             30         126            156            -1             //Death Rider
306            33             30         136            144            -1             //Death Rider
306            33             30         145            087            -1             //Death Rider
306            33             30         149            112            -1             //Death Rider
306            33             30         161            117            -1             //Death Rider
306            33             30         167            152            -1             //Death Rider
306            33             30         176            124            -1             //Death Rider
306            33             30         186            089            -1             //Death Rider
306            33             30         189            179            -1             //Death Rider
306            33             30         190            144            -1             //Death Rider
306            33             30         191            138            -1             //Death Rider
306            33             30         207            054            -1             //Death Rider
306            33             30         209            075            -1             //Death Rider
306            33             30         221            060            -1             //Death Rider
306            33             30         223            158            -1             //Death Rider
306            33             30         227            052            -1             //Death Rider
306            33             30         230            012            -1             //Death Rider
306            33             30         233            061            -1             //Death Rider
306            33             30         234            071            -1             //Death Rider
306            33             30         234            146            -1             //Death Rider
306            33             30         235            090            -1             //Death Rider
307            33             30         086            171            -1             //Forest Orc
307            33             30         126            020            -1             //Forest Orc
307            33             30         126            026            -1             //Forest Orc
307            33             30         148            010            -1             //Forest Orc
307            33             30         148            019            -1             //Forest Orc
307            33             30         149            035            -1             //Forest Orc
307            33             30         157            016            -1             //Forest Orc
307            33             30         158            046            -1             //Forest Orc
307            33             30         166            057            -1             //Forest Orc
307            33             30         172            011            -1             //Forest Orc
307            33             30         176            060            -1             //Forest Orc
307            33             30         183            096            -1             //Forest Orc
307            33             30         187            017            -1             //Forest Orc
307            33             30         189            055            -1             //Forest Orc
307            33             30         190            040            -1             //Forest Orc
307            33             30         190            079            -1             //Forest Orc
307            33             30         194            033            -1             //Forest Orc
307            33             30         196            045            -1             //Forest Orc
307            33             30         199            108            -1             //Forest Orc
307            33             30         210            122            -1             //Forest Orc
307            33             30         212            062            -1             //Forest Orc
307            33             30         213            082            -1             //Forest Orc
307            33             30         213            137            -1             //Forest Orc
307            33             30         214            010            -1             //Forest Orc
307            33             30         225            149            -1             //Forest Orc
307            33             30         226            067            -1             //Forest Orc
307            33             30         226            140            -1             //Forest Orc
307            33             30         233            125            -1             //Forest Orc
307            33             30         234            111            -1             //Forest Orc
307            33             30         234            155            -1             //Forest Orc
307            33             30         236            135            -1             //Forest Orc
308            33             30         103            016            -1             //Death Tree
308            33             30         113            008            -1             //Death Tree
308            33             30         118            016            -1             //Death Tree
308            33             30         136            023            -1             //Death Tree
308            33             30         137            013            -1             //Death Tree
308            33             30         150            046            -1             //Death Tree
308            33             30         157            023            -1             //Death Tree
308            33             30         158            010            -1             //Death Tree
308            33             30         162            070            -1             //Death Tree
308            33             30         164            018            -1             //Death Tree
308            33             30         166            048            -1             //Death Tree
308            33             30         174            023            -1             //Death Tree
308            33             30         177            016            -1             //Death Tree
308            33             30         189            038            -1             //Death Tree
308            33             30         189            095            -1             //Death Tree
308            33             30         195            026            -1             //Death Tree
308            33             30         196            099            -1             //Death Tree
308            33             30         200            071            -1             //Death Tree
308            33             30         204            012            -1             //Death Tree
308            33             30         205            031            -1             //Death Tree
308            33             30         206            091            -1             //Death Tree
308            33             30         214            114            -1             //Death Tree
308            33             30         219            091            -1             //Death Tree
308            33             30         222            075            -1             //Death Tree
308            33             30         223            130            -1             //Death Tree
308            33             30         228            111            -1             //Death Tree
309            33             30         108            147            -1             //Hell Maine
309            33             30         112            047            -1             //Hell Maine
309            33             30         123            103            -1             //Hell Maine
306            33             30         228            017            -1             //Death Rider
308            33             30         226            011            -1             //Death Tree
306            33             30         236            033            -1             //Death Rider
306            33             30         237            038            -1             //Death Rider
307            33             30         232            038            -1             //Forest Orc
306            33             30         169            085            -1             //Death Rider
307            33             30         171            082            -1             //Forest Orc
306            33             30         193            150            -1             //Death Rider
305            33             30         195            153            -1             //Blue Golem
306            33             30         204            172            -1             //Death Rider
306            33             30         090            203            -1             //Death Rider
305            33             30         117            073            -1             //Blue Golem
305            33             30         114            101            -1             //Blue Golem
305            33             30         086            155            -1             //Blue Golem
305            33             30         230            132            -1             //Blue Golem
306            33             30         188            027            -1             //Death Rider
306            33             30         228            060            -1             //Death Rider
304            33             30         088            073            -1             //Witch Queen
307            33             30         168            082            -1             //Forest Orc
307            33             30         166            073            -1             //Forest Orc
307            33             30         234            036            -1             //Forest Orc
306            33             30         215            032            -1             //Death Rider
306            33             30         217            036            -1             //Death Rider
308            33             30         213            038            -1             //Death Tree
308            33             30         216            038            -1             //Death Tree
306            33             30         214            035            -1             //Death Rider
end
