//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
352            37             30         207            187            -1             //Iron Rider
350            37             30         188            011            -1             //Berserker
351            37             30         188            218            -1             //Splinter Wolf
350            37             30         151            011            -1             //Berserker
351            37             30         159            232            -1             //Splinter Wolf
350            37             30         154            041            -1             //Berserker
351            37             30         036            234            -1             //Splinter Wolf
351            37             30         042            235            -1             //Splinter Wolf
351            37             30         118            232            -1             //Splinter Wolf
351            37             30         055            228            -1             //Splinter Wolf
351            37             30         075            231            -1             //Splinter Wolf
351            37             30         069            238            -1             //Splinter Wolf
351            37             30         174            196            -1             //Splinter Wolf
351            37             30         094            234            -1             //Splinter Wolf
351            37             30         100            240            -1             //Splinter Wolf
351            37             30         114            239            -1             //Splinter Wolf
351            37             30         135            223            -1             //Splinter Wolf
351            37             30         143            239            -1             //Splinter Wolf
351            37             30         151            206            -1             //Splinter Wolf
351            37             30         155            196            -1             //Splinter Wolf
351            37             30         180            225            -1             //Splinter Wolf
351            37             30         172            215            -1             //Splinter Wolf
352            37             30         187            205            -1             //Iron Rider
352            37             30         172            205            -1             //Iron Rider
352            37             30         207            195            -1             //Iron Rider
352            37             30         198            179            -1             //Iron Rider
352            37             30         180            164            -1             //Iron Rider
352            37             30         174            170            -1             //Iron Rider
352            37             30         185            148            -1             //Iron Rider
352            37             30         165            157            -1             //Iron Rider
352            37             30         165            165            -1             //Iron Rider
352            37             30         175            150            -1             //Iron Rider
352            37             30         214            143            -1             //Iron Rider
352            37             30         217            145            -1             //Iron Rider
352            37             30         204            137            -1             //Iron Rider
352            37             30         195            156            -1             //Iron Rider
352            37             30         195            148            -1             //Iron Rider
352            37             30         236            135            -1             //Iron Rider
352            37             30         223            132            -1             //Iron Rider
352            37             30         212            125            -1             //Iron Rider
352            37             30         222            113            -1             //Iron Rider
353            37             30         217            141            -1             //Satyros
353            37             30         226            154            -1             //Satyros
353            37             30         218            164            -1             //Satyros
353            37             30         213            165            -1             //Satyros
353            37             30         195            152            -1             //Satyros
353            37             30         193            181            -1             //Satyros
353            37             30         166            162            -1             //Satyros
353            37             30         182            150            -1             //Satyros
353            37             30         233            123            -1             //Satyros
353            37             30         234            132            -1             //Satyros
353            37             30         236            091            -1             //Satyros
353            37             30         231            096            -1             //Satyros
353            37             30         234            101            -1             //Satyros
353            37             30         220            155            -1             //Satyros
353            37             30         178            168            -1             //Satyros
353            37             30         225            086            -1             //Satyros
353            37             30         224            082            -1             //Satyros
353            37             30         230            082            -1             //Satyros
353            37             30         229            058            -1             //Satyros
353            37             30         226            068            -1             //Satyros
353            37             30         206            038            -1             //Satyros
354            37             30         204            035            -1             //Blade Hunter
353            37             30         213            044            -1             //Satyros
353            37             30         214            035            -1             //Satyros
353            37             30         215            037            -1             //Satyros
353            37             30         224            043            -1             //Satyros
354            37             30         221            047            -1             //Blade Hunter
354            37             30         207            040            -1             //Blade Hunter
354            37             30         189            014            -1             //Blade Hunter
354            37             30         187            007            -1             //Blade Hunter
350            37             30         150            056            -1             //Berserker
354            37             30         175            010            -1             //Blade Hunter
350            37             30         158            057            -1             //Berserker
355            37             30         176            041            -1             //Kentauros
350            37             30         165            050            -1             //Berserker
355            37             30         181            015            -1             //Kentauros
355            37             30         153            015            -1             //Kentauros
354            37             30         148            019            -1             //Blade Hunter
