//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
408            41             00         119            168            02             //Gatekeeper
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
409            41             30         039            101            -1             //Balram
409            41             30         044            110            -1             //Balram
409            41             30         052            134            -1             //Balram
409            41             30         067            112            -1             //Balram
409            41             30         087            090            -1             //Balram
409            41             30         090            067            -1             //Balram
409            41             30         090            078            -1             //Balram
409            41             30         071            101            -1             //Balram
409            41             30         071            101            -1             //Balram
409            41             30         064            132            -1             //Balram
409            41             30         109            101            -1             //Balram
410            41             30         098            096            -1             //Death Spirit
410            41             30         122            090            -1             //Death Spirit
410            41             30         125            099            -1             //Death Spirit
410            41             30         137            140            -1             //Death Spirit
410            41             30         140            150            -1             //Death Spirit
410            41             30         044            127            -1             //Death Spirit
410            41             30         057            123            -1             //Death Spirit
410            41             30         079            086            -1             //Death Spirit
410            41             30         101            069            -1             //Death Spirit
410            41             30         121            118            -1             //Death Spirit
411            41             30         127            127            -1             //Soram
411            41             30         126            164            -1             //Soram
411            41             30         123            160            -1             //Soram
411            41             30         132            156            -1             //Soram
411            41             30         132            136            -1             //Soram
411            41             30         116            103            -1             //Soram
411            41             30         129            146            -1             //Soram
end
