//Section   Type   Level   Dur      Skill     Luck      Option    ExcOp	   Coment
14	    1      7       255      0         0         0         0        //Small Healing Potion
14	    2      7       255      0         0         0         0        //Healing Potion
14	    3      7       255      0         0         0         0        //Small Mana Potion
14	    4      7       255      0         0         0         0        //Small Mana Potion
14	    6      7       255      0         0         0         0        //Small Mana Potion
14	    5      7       255      0         0         0         0        //Mana Potion
14	    8      7       255      0         0         0         0        //Antidote
4	    7      0       255      0         0         0         0        //Bolt
4	    15     0       255      0         0         0         0        //Arrow
13	    29     0       0        0         0         0         0        //Armor of Guardsman
end
