file_offset	va	section	phase
0x0078BFF8	0x00B8CFF8	.rdata	G01ModelExplicitMatrices
0x0078C014	0x00B8D014	.rdata	G02ModelMaterialState
0x0078C02C	0x00B8D02C	.rdata	H08ModelStateCommit
0x0078C040	0x00B8D040	.rdata	H08ModelInstanceUniformCache
0x0078C060	0x00B8D060	.rdata	G03ModelBoneScratch
0x0078C074	0x00B8D074	.rdata	G04ModelPoseReuse
0x0078C088	0x00B8D088	.rdata	G06ModelQueueObserve
0x0078C0A0	0x00B8D0A0	.rdata	G07ModelOpaqueSort
0x0078EB74	0x00B8FB74	.rdata	D01ChatFade
0x0078EB80	0x00B8FB80	.rdata	D02LuaColorBox
0x0078EB90	0x00B8FB90	.rdata	D03OrderedBatch
0x0078EBA0	0x00B8FBA0	.rdata	D04SolidBitmapHelpers
0x0078EBB8	0x00B8FBB8	.rdata	D05RotatedBitmapHelpers
0x0078EBD0	0x00B8FBD0	.rdata	D06GenericSprite
0x0078EBE4	0x00B8FBE4	.rdata	D07NumbersAndPoints
0x0078EBF8	0x00B8FBF8	.rdata	D08EffectSprites
0x0078EC0C	0x00B8FC0C	.rdata	D09ParticleBillboards
0x0078EC34	0x00B8FC34	.rdata	P01MonsterHpBarBatch
0x0078EC4C	0x00B8FC4C	.rdata	P01HeadNameTextReuse
0x0078EC64	0x00B8FC64	.rdata	D11TextSurfaceCache
0x0078EC78	0x00B8FC78	.rdata	P01ParticleDeferredTextureBind
0x0078EC98	0x00B8FC98	.rdata	P01ParticleDirectZRotation
0x0078EF00	0x00B8FF00	.rdata	E01SkyCylinder
0x0078F358	0x00B90358	.rdata	E02AtmosphereHaze
0x0078FB60	0x00B90B60	.rdata	E05WaterTile
0x0078FB70	0x00B90B70	.rdata	E06HellasWater
0x007902E0	0x00B912E0	.rdata	H04CpuModelTriangles
0x007902F8	0x00B912F8	.rdata	H04CompatibilityFixedStateBypass
0x0079034C	0x00B9134C	.rdata	F01ClothMesh
0x0079035C	0x00B9135C	.rdata	F02SideHairRibbon
0x00790370	0x00B91370	.rdata	F03CircleEffects
0x00790384	0x00B91384	.rdata	F05BlurRibbons
0x00790394	0x00B91394	.rdata	F06JointRibbons
0x007903A4	0x00B913A4	.rdata	P01JointDirectBufferUpload
0x007903C0	0x00B913C0	.rdata	P01JointSubmitTimingTelemetry
0x007903E0	0x00B913E0	.rdata	P01JointAdjacencyTelemetry
0x007903FC	0x00B913FC	.rdata	P01JointAdjacentBatch
0x00790414	0x00B91414	.rdata	F07UtilityPlane
0x00792070	0x00B93070	.rdata	E07TerrainCommandEncoder
0x0079208C	0x00B9308C	.rdata	E08TerrainBatches
0x007920A0	0x00B930A0	.rdata	P01TerrainStateDelta
0x007920B8	0x00B930B8	.rdata	P01TerrainTransitionTelemetry
0x007920D8	0x00B930D8	.rdata	P01TerrainReplayTimingTelemetry
0x007920F8	0x00B930F8	.rdata	P01TerrainLoopSampleTelemetry
0x00792118	0x00B93118	.rdata	P02TerrainWeatherFX
0x0079212C	0x00B9312C	.rdata	P02WaterFX
0x00792138	0x00B93138	.rdata	P02RainSurfaceFX
0x0079214C	0x00B9314C	.rdata	P02WetGroundFX
0x0079215C	0x00B9315C	.rdata	P02FootstepFX
0x0079216C	0x00B9316C	.rdata	P02TerrainWeatherQuality
0x00792188	0x00B93188	.rdata	P02RainPreviewIntensity
0x007D5C38	0x00BD6C38	.rdata	H05CoreProfile
